Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,,,,,,,,,,,,,,,,,,,,,,,,,
Понедельник Утро:,,Вторник утро:,,Среда утро:,,Четверг утро,,Пятница утро:,,Суббота утро:,,Воскресенье утро:,,,,Кол-во  --- В ЛЕКСАНАХ,,,,,,,,,,,,,,,,,,,,,,
Томаты,3,Томаты,3,Томаты,4,Томаты,4,Томаты,7,Томаты,7,Томаты,7,,,,,,,,,,,,,,,,,,,,,,,,,
Лук,3,Лук,2,Лук,3,Лук,3,Лук,4,Лук,5,Лук,4,,Это делается на вечер ,,,,,,,,,,,,,,,,,,,,,,,
Перец,2,Перец,2,Перец,2,Перец,2,Перец,4,Перец,4,Перец,3,,,,,,,,,,,,,,,,,,,,,,,,,
Шампиньоны,2,Шампиньоны,2,Шампиньоны,2,Шампиньоны,2,Шампиньоны,3,Шампиньоны,3,Шампиньоны,3,,,,,,,,,,,,,,,,,,,,,,,,,
Филе курицы,7,Филе курицы,7,Филе курицы,8,Филе курицы,7,Филе курицы,9,Филе курицы,10,Филе курицы,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,Дни недели:,Кол-во:,,,,,,,,,,,,,,,,,,,,,,,,,
Понедельник Вечер:,,Вторник вечер:,,Среда вечер:,,Четверг вечер:,,Пятница вечер:,,Суббота вечер:,,Воскресенье вечер:,,,,,,,,,,,,,,,,,,,,,,,,,,
Томаты,2,Томаты,2,Томаты,2,Томаты,2,Томаты,3,Томаты,3,Томаты,2,,,,,,,,,,,,,,,,,,,,,,,,,
Лук,1,Лук,1,Лук,1,Лук,1,Лук,3,Лук,3,Лук,2,,,,,,,,,,,,,,,,,,,,,,,,,
Перец,1,Перец,1,Перец,1,Перец,1,Перец,2,Перец,2,Перец,2,,Это делается на следующий день утром,,,,,,,,,,,,,,,,,,,,,,,
Шампиньоны,1,Шампиньоны,1,Шампиньоны,1,Шампиньоны,1,Шампиньоны,2,Шампиньоны,2,Шампиньоны,1,,,,,,,,,,,,,,,,,,,,,,,,,
Филе курицы,2,Филе курицы,2,Филе курицы,3,Филе курицы,3,Филе курицы,3,Филе курицы,4,Филе курицы,2,,,,,,,,,,,,,,,,,,,,,,,,,
Соуса:,,Соуса:,,Соуса:,,Соуса:,,Соуса:,,Соуса:,,Соуса:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Соуса заливает вечерняя смена, которая закрывается в холодном цеху. Заливать до приборки холодного цеха!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вс
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,пн,вт,ср,чт,пт,сб,
